tamilnadu,south,north
604410,502316,125042
604410,502316,125044
604410,502318,125044
604410,502318,125047
604501,502318,125047
604501,502319,125047
604501,502319,125048
604501,502319,125049
604502,502319,125049
604502,502319,125050
604503,502319,125050
604503,502321,125050
604503,502321,125051
604504,502321,125051
604504,502324,125051
604504,502325,125051
604504,502329,125051
604504,502331,125051
604505,502331,125051
604505,502334,125051
604601,502334,125051
604601,502335,125051
604601,502335,125052
604601,502336,125052
605001,502336,125052
605002,502336,125052
605003,502336,125052
605004,502336,125052
605005,502336,125052
605006,502336,125052
605007,502336,125052
605007,502345,125052
605007,502345,125053
605008,502345,125053
605009,502345,125053
605010,502345,125053
605011,502345,125053
605013,502345,125053
605014,502345,125053
605014,502345,125054
605014,502345,125055
605101,502345,125055
605102,502345,125055
605102,502371,125055
605103,502371,125055
605103,502372,125055
605103,502372,125058
605103,502372,125060
605104,502372,125060
605104,502375,125060
605105,502375,125060
605105,502375,125075
605105,502381,125075
605105,502381,125076
605106,502381,125076
605106,503001,125076
605106,503002,125076
605106,503003,125076
605106,503003,125077
605106,503101,125077
605106,503101,125078
605106,503102,125078
605107,503102,125078
605107,503108,125078
605107,503108,125101
605107,503108,125102
605108,503108,125102
605108,503110,125102
605108,503110,125103
605108,503111,125103
605108,503112,125103
605108,503112,125104
605109,503112,125104
605109,503114,125104
605109,503120,125104
605110,503120,125104
605110,503120,125106
605110,503122,125106
605111,503122,125106
605111,503122,125110
605201,503122,125110
605201,503122,125111
605201,503123,125111
605201,503123,125112
605202,503123,125112
605202,503124,125112
605202,503124,125113
605202,503125,125113
605202,503144,125113
605203,503144,125113
605203,503144,125120
605203,503145,125120
605301,503145,125120
605301,503164,125120
605301,503164,125121
605302,503165,125121
605401,503165,125121
605401,503174,125133
605401,503175,125133
605402,503175,125133
605402,503175,125201
605402,503180,125201
605402,503185,125201
605402,503186,125201
605501,503186,126101
605501,503187,126101
605501,503187,126102
605501,503188,126102
605501,503201,126102
605501,503202,126102
605502,503202,126102
605502,503202,126110
605502,503206,126110
605502,503206,126111
605502,503207,126111
605502,503207,126112
605601,503207,126112
605601,503212,126112
605601,503212,126113
605601,503213,126113
605602,503213,126113
605651,503213,126113
605651,503213,126114
605651,503217,126115
605652,503217,126115
605652,503218,126115
605652,503219,126115
605652,503219,126116
605652,503223,126116
605652,503224,126116
605652,503225,126116
605701,503225,126116
605701,503230,126116
605701,503235,126116
605702,503235,126116
605702,503235,126125
605702,503245,126125
605751,503245,126152
605751,503246,126152
605751,503246,127021
605751,503246,127022
605751,503301,127022
605752,503301,127022
605752,503301,127025
605752,503301,127026
605754,503301,127026
605754,503302,127026
605754,503302,127027
605754,503302,127028
605755,503302,127028
605755,503305,127029
605756,503305,127029
605756,503305,127030
605757,503305,127030
605758,503305,127030
605758,503306,127030
605759,503306,127030
605766,503306,127030
605766,503306,127031
605766,503307,127031
605766,503307,127032
605766,503307,127035
605766,503307,127040
605801,503307,127040
605801,503308,127040
605801,503309,127040
605802,503309,127040
605802,503309,127041
605802,503309,127042
605803,503309,127042
605803,503309,127043
605803,503310,127043
605803,503310,127045
605803,503310,127046
606001,503310,127046
606003,503310,127046
606003,503311,127046
606003,503311,127111
606102,503311,127114
606102,503321,127114
606102,503321,127201
606102,503322,127201
606102,504001,127201
606102,504002,127201
606103,504002,127201
606104,504002,127201
606104,504002,127306
606104,504002,127307
606104,504002,127308
606105,504002,127308
606105,504101,127308
606105,504101,127309
606106,504101,127309
606106,504101,127310
606107,504101,127310
606107,504102,127310
606107,504102,127311
606107,504102,127312
606108,504102,127312
606108,504103,131001
606109,504103,131001
606110,504103,131001
606111,504103,131021
606111,504103,131022
606111,504103,131023
606111,504104,131023
606115,504104,131023
606115,504104,131024
606201,504104,131024
606201,504104,131027
606201,504104,131028
606201,504105,131028
606201,504105,131029
606201,504105,131039
606202,504106,131039
606203,504106,131039
606203,504106,131101
606204,504106,131101
606204,504107,131101
606204,504109,131101
606204,504109,131102
606205,504109,131102
606205,504109,131103
606205,504110,131103
606205,504110,131301
606206,504110,131301
606206,504110,131302
606206,504201,131302
606206,504201,131304
606206,504201,131305
606206,504201,131306
606207,504201,131306
606207,504201,131402
606207,504202,131402
606208,504202,131402
606208,504202,131403
606209,504202,131408
606209,504202,131409
606209,504202,132001
606209,504203,132001
606209,504203,132022
606209,504203,132023
606209,504203,132024
606213,504203,132024
606213,504203,132036
606213,504204,132036
606301,504204,132036
606301,504204,132037
606302,504204,132037
606302,504205,132039
606303,504205,132039
606304,504205,132039
606304,504205,132040
606304,504206,132040
606304,504206,132041
606305,504206,132041
606401,504207,132041
606401,504208,132041
606401,504209,132041
606401,504209,132046
606401,504209,132054
606402,504209,132054
606402,504214,132054
606601,504214,132054
606601,504214,132101
606603,504214,132101
606603,504215,132101
606604,504215,132101
606604,504215,132102
606604,504215,132103
606611,504215,132103
606611,504215,132104
606611,504216,132104
606701,504216,132104
606701,504216,132105
606702,504216,132105
606702,504218,132106
606702,504219,132106
606702,504219,132107
606703,504219,132107
606703,504219,132108
606703,504219,132113
606704,504219,132113
606704,504220,132113
606704,504220,132114
606704,504231,132114
606705,504231,132114
606706,504231,132114
606706,504231,132115
606706,504251,132115
606706,504251,132116
606707,504251,132116
606707,504251,132117
606707,504272,132117
606708,504272,132117
606708,504272,132122
606708,504273,132122
606708,504273,132140
606708,504273,132145
606708,504273,132157
606709,504273,132157
606709,504273,133001
606709,504292,133001
606709,504292,133004
606710,504292,133004
606751,504292,133004
606751,504293,133004
606751,504293,133005
606751,504293,133006
606751,504293,133101
606751,504293,133102
606752,504293,133102
606753,504293,133102
606753,504293,133103
606754,504293,133103
606754,504293,133104
606755,504294,133104
606801,504294,133104
606801,504294,133201
606801,504295,133201
606801,504295,133202
606802,504295,133202
606802,504295,133203
606803,504295,133203
606803,504295,133204
606803,504296,133204
606804,504296,133204
